2025-01-28 20:33:51.640 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-01-28 20:33:51.645 | INFO     | __main__:<module>:68 - Project root: C:\Users\trent\Projects\buzzline-03-trentrueckert
2025-01-28 20:33:51.645 | INFO     | __main__:<module>:72 - Data folder: C:\Users\trent\Projects\buzzline-03-trentrueckert\data
2025-01-28 20:33:51.647 | INFO     | __main__:<module>:76 - Data file: C:\Users\trent\Projects\buzzline-03-trentrueckert\data\buzz.json
2025-01-28 20:33:51.647 | INFO     | __main__:main:136 - START producer.
2025-01-28 20:33:51.647 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-01-28 20:33:51.666 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-01-28 20:33:51.666 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 20:33:52.445 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 0, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'yvzes8zVSZi8mIuBjCZxDA', 'controller_id': 0}
2025-01-28 20:33:52.450 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-01-28 20:33:52.452 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-01-28 20:33:52.454 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 20:33:52.456 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-01-28 20:33:52.615 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-01-28 20:33:52.618 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-01-28 20:33:53.115 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
